id,title,year,country,runtime,language,certificate,budget,revenue,avg_rating,vote_count,target,cast_count
935,Character,1997,Netherlands,122,Dutch,R,713413.0,4500000.0,7.80000019,9171,1,3.0
936,Chasing Amy,1997,USA,113,English,R,12006514.0,250000.0,7.30000019,114070,1,3.0
937,Children of Heaven,1997,Iran,89,Persian,PG,925402.0,180000.0,8.5,27882,1,3.0
938,Clockwatchers,1997,UK,96,English,PG-13,444354.0,0.0,6.4000001,4049,0,3.0
939,Con Air,1997,USA,123,English,R,101087161.0,75000000.0,6.80000019,225282,0,3.0
940,Conspiracy Theory,1997,USA,135,English,R,76081498.0,75000000.0,6.69999981,76099,0,3.0
941,Contact,1997,USA,150,English,PG,100853835.0,90000000.0,7.4000001,200556,1,3.0
942,Cop Land,1997,USA,120,English,R,44886089.0,10000000.0,6.9000001,69576,0,3.0
943,Critical Care,1997,Australia,107,English,R,141853.0,12000000.0,6.0,1427,0,3.0
944,Cube,1997,Canada,90,English,R,489220.0,365000.0,7.30000019,160511,1,3.0
945,Dante's Peak,1997,USA,108,English,PG-13,67155742.0,116000000.0,5.80000019,62271,0,3.0
946,Deconstructing Harry,1997,USA,96,English,R,10569071.0,20000000.0,7.4000001,35586,1,3.0
947,DÃ©jÃ  Vu,1997,USA,117,English,PG-13,821997.0,0.0,7.0,666,1,3.0
948,Donnie Brasco,1997,USA,147,English,R,41954997.0,35000000.0,7.80000019,225122,1,3.0
949,Dream with the Fishes,1997,USA,97,English,R,464655.0,1000000.0,7.0,1524,1,3.0
950,Eve's Bayou,1997,USA,109,English,R,14821531.0,6000000.0,7.30000019,6915,1,3.0
951,Event Horizon,1997,UK,130,English,R,26616590.0,60000000.0,6.69999981,120416,0,3.0
952,Face/Off,1997,USA,138,English,R,112225777.0,80000000.0,7.30000019,283967,1,3.0
953,"First Love, Last Rites",1997,USA,94,English,R,40542.0,300000.0,5.5,294,0,3.0
954,Flubber,1997,USA,90,English,PG,92969824.0,80000000.0,5.19999981,63625,0,3.0
955,G.I. Jane,1997,USA,125,English,R,48154732.0,50000000.0,5.80000019,60326,0,3.0
956,Gattaca,1997,USA,106,English,PG-13,12339633.0,36000000.0,7.80000019,220591,1,3.0
957,George of the Jungle,1997,USA,92,English,PG,105263257.0,55000000.0,5.4000001,56168,0,3.0
958,Good Will Hunting,1997,USA,126,English,R,138339411.0,10000000.0,8.30000019,604904,1,3.0
959,Grosse Pointe Blank,1997,USA,107,English,R,28014536.0,15000000.0,7.4000001,73347,1,3.0
960,Hav Plenty,1997,USA,84,English,R,2301777.0,650000.0,6.5,819,0,3.0
961,How to Be a Player,1997,USA,93,English,R,13960203.0,0.0,5.30000019,2301,0,3.0
962,Hurricane Streets,1997,USA,86,English,R,334041.0,500000.0,6.5,1038,0,3.0
963,I Know What You Did Last Summer,1997,USA,99,English,R,72219395.0,17000000.0,5.5999999,105585,0,3.0
964,"I Love You, Don't Touch Me!",1997,USA,86,English,R,33598.0,0.0,5.4000001,405,0,3.0
965,I Married a Strange Person!,1997,USA,75,English,R,203134.0,250000.0,7.0,1428,1,3.0
966,In & Out,1997,USA,90,English,PG-13,63826569.0,35000000.0,6.30000019,32416,0,3.0
967,In the Company of Men,1997,Canada,97,English,R,2856622.0,25000.0,7.30000019,11550,1,3.0
968,Jackie Brown,1997,USA,154,English,R,39647595.0,12000000.0,7.5,239540,1,3.0
969,Kiss the Girls,1997,USA,115,English,R,60491560.0,27000000.0,6.5999999,50653,0,3.0
970,Kundun,1997,USA,134,English,PG-13,5532301.0,28000000.0,7.0,21606,1,3.0
971,L.A. Confidential,1997,USA,138,English,R,64604977.0,35000000.0,8.30000019,414219,1,3.0
972,Liar Liar,1997,USA,86,English,PG-13,181395380.0,45000000.0,6.80000019,220392,0,3.0
973,Love and Death on Long Island,1997,UK,93,English,PG-13,2542264.0,0.0,7.0999999,3407,1,3.0
974,Love Jones,1997,USA,104,English,R,12514138.0,10000000.0,7.4000001,2801,1,3.0
975,Mad City,1997,USA,115,English,PG-13,10556196.0,50000000.0,6.19999981,16562,0,3.0
976,Men in Black,1997,USA,98,English,PG-13,250147615.0,90000000.0,7.30000019,403014,1,3.0
977,Midnight in the Garden of Good and Evil,1997,USA,155,English,R,25078937.0,30000000.0,6.5999999,31751,0,3.0
978,Money Talks,1997,USA,97,English,R,41067398.0,25000000.0,6.0999999,22748,0,3.0
979,Mortal Kombat: Annihilation,1997,USA,95,English,PG-13,35927406.0,30000000.0,3.70000005,36363,0,3.0
980,Mr. Nice Guy,1997,Hong Kong,86,English,PG-13,12674183.0,0.0,6.19999981,19774,0,3.0
981,My Best Friend's Wedding,1997,USA,105,English,PG-13,126805112.0,46000000.0,6.30000019,98199,0,3.0
982,Nothing to Lose,1997,USA,98,English,R,44455658.0,25000000.0,6.69999981,36253,0,3.0
983,Orgazmo,1997,USA,92,English,NC-17,582024.0,1000000.0,6.19999981,30396,0,3.0
984,Oscar and Lucinda,1997,USA,132,English,R,1508689.0,16000000.0,6.69999981,5648,0,3.0
985,Prefontaine,1997,USA,106,English,PG-13,532190.0,8000000.0,6.80000019,5673,0,3.0
986,Princess Mononoke,1997,Japan,134,Japanese,PG-13,2298191.0,2400000000.0,8.39999962,221552,1,3.0
987,Scream 2,1997,USA,120,English,R,101334374.0,24000000.0,6.0999999,124941,0,3.0
988,Selena,1997,USA,127,English,PG,35422828.0,20000000.0,6.69999981,19126,0,3.0
989,Seven Years in Tibet,1997,USA,136,English,PG-13,37901509.0,70000000.0,7.0,96385,1,3.0
990,Shadow Conspiracy,1997,USA,103,English,R,2154540.0,45000000.0,4.9000001,3803,0,3.0
991,Shooting Fish,1997,UK,99,English,PG,302204.0,3000000.0,6.5999999,6705,0,3.0
992,Smilla's Sense of Snow,1997,Denmark,121,English,R,2221994.0,35000000.0,6.4000001,11747,0,3.0
993,Snow White: A Tale of Terror,1997,USA,100,English,R,0.0,26000000.0,6.30000019,8118,0,3.0
994,Soul Food,1997,USA,115,English,R,43490057.0,7500000.0,6.9000001,5275,0,3.0
995,Sparkler,1997,USA,90,English,R,5494.0,0.0,5.5999999,377,0,3.0
996,Spawn,1997,USA,98,English,R,54967359.0,40000000.0,5.19999981,52805,0,3.0
997,Speed 2: Cruise Control,1997,USA,121,English,PG-13,48068396.0,160000000.0,3.70000005,60573,0,3.0
998,Spice World,1997,UK,93,English,PG,29247405.0,25000000.0,3.29999995,28377,0,3.0
999,Starship Troopers,1997,USA,129,English,R,54700065.0,105000000.0,7.19999981,221521,1,3.0
1000,Steel,1997,USA,97,English,PG-13,1686429.0,16000000.0,2.79999995,8687,0,3.0
1001,Switchback,1997,USA,118,English,R,6482195.0,37000000.0,6.4000001,9740,0,3.0
1002,The Apostle,1997,USA,134,English,PG-13,20733485.0,5000000.0,7.19999981,11622,1,3.0
1003,The Borrowers,1997,UK,89,English,PG,22359293.0,29000000.0,5.80000019,16222,0,3.0
1004,The Chambermaid on the Titanic,1997,France,101,French,,244465.0,0.0,6.80000019,1135,0,3.0
1005,The Cure,1997,Japan,111,Japanese,,94596.0,1000000.0,7.4000001,6318,1,3.0
1006,The Devil's Advocate,1997,USA,136,English,R,60984028.0,57000000.0,7.5,259519,1,3.0
1007,The Devil's Own,1997,USA,111,English,R,42877165.0,86000000.0,6.0999999,45602,0,3.0
1008,The Edge,1997,USA,117,English,R,27779888.0,0.0,6.9000001,55913,0,3.0
1009,The Fifth Element,1997,France,126,English,PG-13,63540020.0,93000000.0,7.69999981,343274,1,3.0
1010,The Full Monty,1997,UK,91,English,R,45857453.0,3500000.0,7.19999981,82232,1,3.0
1011,The Full Monty,1997,UK,91,English,R,45857453.0,3500000.0,7.19999981,82232,1,3.0
1012,The Game,1997,USA,129,English,R,48265581.0,50000000.0,7.80000019,261069,1,3.0
1013,The Ice Storm,1997,USA,112,English,R,7837632.0,18000000.0,7.5,46396,1,3.0
1014,The Jackal,1997,USA,124,English,R,54910560.0,60000000.0,6.30000019,88225,0,3.0
1015,The Last Time I Committed Suicide,1997,USA,92,English,R,12836.0,4000000.0,5.80000019,1686,0,3.0
1016,The Lost World: Jurassic Park,1997,USA,129,English,PG-13,229074524.0,73000000.0,6.5,278362,0,3.0
1017,The Man Who Knew Too Little,1997,USA,94,English,PG,13801755.0,20000000.0,6.5999999,23928,0,3.0
1018,The Peacemaker,1997,USA,124,English,R,41256277.0,50000000.0,5.9000001,46451,0,3.0
1019,The Postman,1997,USA,177,English,R,17593391.0,80000000.0,6.0,56403,0,3.0
1020,The Rainmaker,1997,USA,135,English,PG-13,45856732.0,40000000.0,7.0999999,46221,1,3.0
1021,The Relic,1997,UK,110,English,R,33927476.0,40000000.0,5.69999981,19176,0,3.0
1022,The Saint,1997,USA,116,English,PG-13,61355436.0,68000000.0,6.19999981,52136,0,3.0
1023,The Spanish Prisoner,1997,USA,110,English,PG,10200000.0,10000000.0,7.30000019,18697,1,3.0
1024,The Sticky Fingers of Time,1997,USA,81,English,,18195.0,250000.0,6.30000019,336,0,3.0
1025,The Sweet Hereafter,1997,Canada,112,English,R,4306697.0,5000000.0,7.69999981,26720,1,3.0
1026,The Swindle,1997,France,101,French,,231417.0,60000000.0,6.5999999,1649,0,3.0
1027,Titanic,1997,USA,194,English,PG-13,658672302.0,200000000.0,7.69999981,793059,1,3.0
1028,Tomorrow Never Dies,1997,UK,119,English,PG-13,125332007.0,110000000.0,6.5,149680,0,3.0
1029,Trekkies,1997,USA,86,English,PG,617172.0,375000.0,7.0,4407,1,3.0
1030,Turbulence,1997,USA,100,English,R,11466088.0,71000000.0,4.69999981,8983,0,3.0
1031,Two Girls and a Guy,1997,USA,84,English,R,1950218.0,1000000.0,5.5999999,5933,0,3.0
1032,Ulee's Gold,1997,USA,113,English,R,9054736.0,2700000.0,7.0999999,5744,1,3.0
1033,Volcano,1997,USA,104,English,PG-13,47474112.0,90000000.0,5.4000001,58227,0,3.0
1034,Wag the Dog,1997,USA,97,English,R,43022524.0,15000000.0,7.0999999,67604,1,3.0
1035,Warriors of Virtue,1997,USA,101,English,PG,6448817.0,35000000.0,4.5999999,2189,0,3.0
1036,20 Dates,1998,USA,87,English,R,536767.0,60000.0,5.30000019,1622,0,3.0
1037,54,1998,USA,121,English,R,16574731.0,13000000.0,5.80000019,27675,0,3.0
1038,A Bug's Life,1998,USA,95,English,G,162792677.0,120000000.0,7.19999981,211226,1,3.0
1039,A Civil Action,1998,USA,115,English,PG-13,56702901.0,60000000.0,6.5,23302,0,3.0
1040,A Night at the Roxbury,1998,USA,82,English,PG-13,30324946.0,17000000.0,6.19999981,48458,0,3.0
1041,A Simple Plan,1998,UK,121,English,R,16311763.0,17000000.0,7.5,50656,1,3.0
1042,American History X,1998,USA,101,English,R,6712241.0,7500000.0,8.60000038,782437,1,3.0
1043,Among Giants,1998,UK,93,English,R,64359.0,2500000.0,5.9000001,811,0,3.0
1044,Antz,1998,USA,83,English,PG,90646554.0,105000000.0,6.5999999,124641,0,3.0
1045,Armageddon,1998,USA,153,English,PG-13,201573391.0,140000000.0,6.5999999,322395,0,3.0
1046,Babe: Pig in the City,1998,Australia,97,English,G,18318000.0,80000000.0,5.80000019,24868,0,3.0
1047,Barney's Great Adventure,1998,Canada,76,English,G,11144518.0,15000000.0,2.79999995,2724,0,3.0
1048,Beloved,1998,USA,172,English,R,22843047.0,55000000.0,5.9000001,6082,0,3.0
1049,Blade,1998,USA,110,English,R,70001065.0,45000000.0,7.0999999,191437,1,3.0
1050,Bride of Chucky,1998,Canada,89,English,R,32368960.0,25000000.0,5.30000019,39768,0,3.0
1051,Broken Vessels,1998,USA,90,English,R,13493.0,600000.0,6.5999999,531,0,3.0
1052,Buffalo '66,1998,USA,110,English,R,2365931.0,1500000.0,7.5,36657,1,3.0
1053,Bulworth,1998,USA,108,English,R,26525834.0,30000000.0,6.80000019,21998,0,3.0
1054,Can't Hardly Wait,1998,USA,100,English,PG-13,25339117.0,10000000.0,6.5,37885,0,3.0
1055,Celebrity,1998,USA,113,English,R,5032496.0,12000000.0,6.30000019,20576,0,3.0
1056,Central Station,1998,Brazil,113,Portuguese,R,5595428.0,2900000.0,8.0,28951,1,3.0
1057,Chairman of the Board,1998,USA,95,English,PG-13,306715.0,10000000.0,2.29999995,5143,0,3.0
1058,City of Angels,1998,Germany,114,English,PG-13,78745923.0,55000000.0,6.69999981,94407,0,3.0
1059,Clay Pigeons,1998,Germany,104,English,R,1789892.0,8000000.0,6.5999999,9494,0,3.0
1060,"Dancer, Texas Pop. 81",1998,USA,97,English,PG,565592.0,0.0,6.80000019,2189,0,3.0
1061,Dark City,1998,Australia,111,English,R,14337579.0,27000000.0,7.69999981,156929,1,3.0
1062,Dead Man on Campus,1998,USA,96,English,R,15062898.0,14000000.0,6.0,11729,0,3.0
1063,Deep Impact,1998,USA,120,English,PG-13,140459099.0,75000000.0,6.0999999,135601,0,3.0
1064,Deep Rising,1998,USA,106,English,R,11146409.0,45000000.0,6.0,26551,0,3.0
1065,Desert Blue,1998,USA,90,English,R,99147.0,2000000.0,6.19999981,1884,0,3.0
1066,Dirty Work,1998,Canada,82,English,PG-13,9975684.0,13000000.0,6.4000001,20033,0,3.0
1067,Disturbing Behavior,1998,Australia,84,English,R,17411331.0,15000000.0,5.5,17328,0,3.0
1068,Doctor Dolittle,1998,USA,85,English,PG-13,144156464.0,71500000.0,5.30000019,74343,0,3.0
1069,Earth,1998,India,110,Hindi,Unrated,528972.0,0.0,7.80000019,5639,1,3.0
1070,Elizabeth,1998,UK,124,English,R,30012990.0,25000000.0,7.5,75973,1,3.0
1071,Enemy of the State,1998,USA,140,English,R,111544445.0,90000000.0,7.30000019,188116,1,3.0
1072,Ever After: A Cinderella Story,1998,USA,121,English,PG-13,65703412.0,26000000.0,7.0,57958,1,3.0
1073,Fear and Loathing in Las Vegas,1998,USA,118,English,R,10562387.0,18500000.0,7.69999981,213226,1,3.0
1074,Gods and Monsters,1998,USA,105,English,R,6390032.0,3500000.0,7.5,24977,1,3.0
1075,Half Baked,1998,USA,82,English,R,17278980.0,8000000.0,6.69999981,48225,0,3.0
1076,Happiness,1998,USA,134,English,,3000000.0,3000000.0,7.80000019,55329,1,3.0
1077,Hard Rain,1998,USA,97,English,R,19819494.0,70000000.0,5.80000019,26893,0,3.0
1078,He Got Game,1998,USA,136,English,R,21554585.0,25000000.0,6.9000001,36108,0,3.0
1079,Holy Man,1998,USA,114,English,PG,12065985.0,60000000.0,4.9000001,16260,0,3.0
1080,Home Fries,1998,USA,91,English,PG-13,10443316.0,15000000.0,5.0,7159,0,3.0
1081,Hope Floats,1998,USA,114,English,PG-13,60033780.0,30000000.0,5.9000001,18973,0,3.0
1082,How Stella Got Her Groove Back,1998,USA,124,English,R,37672350.0,20000000.0,5.5,5427,0,3.0
1083,I Got the Hook Up,1998,USA,93,English,R,10305534.0,3500000.0,3.9000001,1721,0,3.0
1084,I Still Know What You Did Last Summer,1998,USA,100,English,R,39989008.0,24000000.0,4.5999999,55398,0,3.0
1085,Illuminata,1998,Spain,119,English,R,836641.0,0.0,6.19999981,1402,0,3.0
1086,Knock Off,1998,Aruba,91,English,R,10076136.0,35000000.0,4.80000019,11512,0,3.0
1087,La otra conquista,1998,Mexico,106,Spanish,R,886410.0,3500000.0,6.80000019,1024,0,3.0
1088,Les couloirs du temps: Les visiteurs II,1998,France,118,French,,146072.0,140000000.0,6.0,7147,0,3.0
1089,Lethal Weapon 4,1998,USA,127,English,R,129734803.0,140000000.0,6.5999999,127497,0,3.0
1090,Little Voice,1998,UK,97,English,R,4595000.0,0.0,7.0,13892,1,3.0
1091,Living Out Loud,1998,USA,100,English,R,12902790.0,12000000.0,6.5999999,4052,0,3.0
1092,"Lock, Stock and Two Smoking Barrels",1998,UK,120,English,R,3650677.0,960000.0,8.19999981,414976,1,3.0
1093,Lost in Space,1998,USA,130,English,PG-13,69102910.0,80000000.0,5.0999999,58402,0,3.0
1094,Meet Joe Black,1998,USA,178,English,PG-13,44606335.0,90000000.0,7.0999999,169023,1,3.0
1095,Meet the Deedles,1998,USA,93,English,PG,4308981.0,24000000.0,3.9000001,2265,0,3.0
1096,Mercury Rising,1998,USA,111,English,R,32940507.0,60000000.0,6.0999999,54314,0,3.0
1097,Mercury Rising,1998,USA,111,English,R,32940507.0,60000000.0,6.0999999,54316,0,3.0
1098,Mighty Joe Young,1998,USA,114,English,PG,50628009.0,90000000.0,5.5999999,22955,0,3.0
1099,Mulan,1998,USA,88,English,G,120618403.0,90000000.0,7.5,171792,1,3.0
1100,Naturally Native,1998,USA,107,English,PG-13,10508.0,700000.0,6.5,103,0,3.0
1101,Next Stop Wonderland,1998,USA,104,English,R,3386698.0,1000000.0,6.69999981,4195,0,3.0
1102,One True Thing,1998,USA,127,English,R,23209440.0,30000000.0,7.0,9283,1,3.0
1103,Out of Sight,1998,USA,123,English,R,37339525.0,48000000.0,7.0,71708,1,3.0
1104,Patch Adams,1998,USA,115,English,PG-13,135014968.0,50000000.0,6.69999981,80580,0,3.0
1105,Pi,1998,USA,84,English,R,3216970.0,60000.0,7.5,142619,1,3.0
1106,Practical Magic,1998,USA,104,English,PG-13,46611204.0,48000000.0,6.0999999,55749,0,3.0
1107,Primary Colors,1998,France,143,English,R,38966057.0,65000000.0,6.69999981,23940,0,3.0
1108,Ronin,1998,UK,122,English,R,41609593.0,55000000.0,7.30000019,145422,1,3.0
1109,Rounders,1998,USA,121,English,R,22905674.0,12000000.0,7.4000001,121676,1,3.0
1110,Run Lola Run,1998,Germany,81,German,R,7267324.0,3500000.0,7.80000019,161471,1,3.0
1111,Rushmore,1998,USA,93,English,R,17096053.0,9000000.0,7.69999981,134458,1,3.0
1112,Safe Men,1998,USA,88,English,R,21210.0,1000000.0,6.0999999,2735,0,3.0
1113,Saving Private Ryan,1998,USA,169,English,R,216119491.0,70000000.0,8.60000038,881236,1,3.0
1114,Shakespeare in Love,1998,USA,123,English,R,100241322.0,25000000.0,7.19999981,175524,1,3.0
1115,Simon Birch,1998,USA,114,English,PG,18252684.0,30000000.0,6.9000001,18366,0,3.0
1116,Six Days Seven Nights,1998,USA,98,English,PG-13,74329966.0,70000000.0,5.69999981,60910,0,3.0
1117,Six-String Samurai,1998,USA,91,English,PG-13,124494.0,2000000.0,6.69999981,5613,0,3.0
1118,Slam,1998,USA,100,English,R,982214.0,1000000.0,7.19999981,1976,1,3.0
1119,Sliding Doors,1998,UK,99,English,R,11883495.0,9000000.0,6.80000019,52805,0,3.0
1120,Slums of Beverly Hills,1998,USA,91,English,R,5480318.0,5000000.0,6.5999999,9427,0,3.0
1121,Small Soldiers,1998,USA,108,English,PG-13,53955614.0,40000000.0,6.0999999,77415,0,3.0
1122,Smoke Signals,1998,Canada,89,English,PG-13,6719300.0,2000000.0,7.19999981,8224,1,3.0
1123,Snake Eyes,1998,USA,98,English,R,55585389.0,69000000.0,5.9000001,64121,0,3.0
1124,Soldier,1998,UK,99,English,R,14567883.0,75000000.0,6.0,44248,0,3.0
1125,Sphere,1998,USA,134,English,PG-13,36976367.0,75000000.0,6.0,81611,0,3.0
1126,Star Trek: Insurrection,1998,USA,103,English,PG,70117571.0,58000000.0,6.4000001,56741,0,3.0
1127,Stepmom,1998,USA,124,English,PG-13,91030827.0,50000000.0,6.69999981,46482,0,3.0
1128,Stiff Upper Lips,1998,UK,94,English,R,69582.0,0.0,6.4000001,867,0,3.0
1129,Tango,1998,Spain,115,Spanish,PG-13,1687311.0,700000000.0,7.19999981,2412,1,3.0
1130,Taxman,1998,USA,104,English,R,0.0,1000000.0,5.5,372,0,3.0
1131,The Big Hit,1998,USA,91,English,R,27052167.0,13000000.0,6.0999999,24834,0,3.0
1132,The Big Lebowski,1998,USA,117,English,R,17439163.0,15000000.0,8.19999981,537419,1,3.0
1133,The Big Swap,1998,UK,114,English,,0.0,0.0,5.5999999,270,0,3.0
1134,The Celebration,1998,Denmark,105,Danish,R,1647780.0,1300000.0,8.10000038,65951,1,3.0
1135,The Faculty,1998,USA,104,English,R,40064955.0,15000000.0,6.4000001,92074,0,3.0
1136,The Horse Whisperer,1998,USA,170,English,PG-13,75370763.0,60000000.0,6.5,32353,0,3.0
1137,The Land Girls,1998,UK,111,English,R,146083.0,0.0,6.30000019,1591,0,3.0
1138,The Love Letter,1998,USA,99,English,Unrated,0.0,0.0,7.4000001,1465,1,3.0
1139,The Love Letter,1998,USA,99,English,Unrated,0.0,0.0,7.4000001,1465,1,3.0
1140,The Magic Sword: Quest for Camelot,1998,USA,86,English,G,22717758.0,40000000.0,6.19999981,11156,0,3.0
1141,The Man in the Iron Mask,1998,USA,132,English,PG-13,56876365.0,35000000.0,6.4000001,125219,0,3.0
1142,The Mask of Zorro,1998,USA,136,English,PG-13,93771072.0,65000000.0,6.69999981,135404,0,3.0
1143,The Mighty,1998,USA,100,English,PG-13,2643689.0,0.0,7.30000019,10499,1,3.0
1144,The Negotiator,1998,Germany,140,English,R,44484065.0,50000000.0,7.30000019,107227,1,3.0
1145,The Newton Boys,1998,USA,123,English,PG-13,10297897.0,27000000.0,6.0,8309,0,3.0
1146,The Object of My Affection,1998,USA,111,English,R,29106737.0,15000000.0,6.0,15582,0,3.0
1147,The Players Club,1998,USA,104,English,R,23031390.0,4500000.0,5.5999999,4345,0,3.0
1148,The Prince of Egypt,1998,USA,99,English,PG,101217900.0,70000000.0,7.0,91093,1,3.0
1149,The Red Violin,1998,Canada,130,French,R,9473382.0,10000000.0,7.69999981,26832,1,3.0
1150,The Replacement Killers,1998,USA,96,English,R,18967571.0,30000000.0,6.0999999,23345,0,3.0
1151,The Rugrats Movie,1998,USA,83,English,G,100491683.0,24000000.0,5.9000001,14005,0,3.0
1152,The Siege,1998,USA,116,English,R,40932372.0,70000000.0,6.30000019,58023,0,3.0
1153,The Thin Red Line,1998,USA,215,English,R,36385763.0,52000000.0,7.5999999,138941,1,3.0
1154,The Truman Show,1998,USA,103,English,PG,125603360.0,60000000.0,8.10000038,667983,1,3.0
1155,The Velocity of Gary,1998,USA,100,English,R,0.0,4000000.0,5.0,1555,0,3.0
1156,The Waterboy,1998,USA,90,English,PG-13,161487252.0,20000000.0,6.0999999,119450,0,3.0
1157,The X Files,1998,USA,121,English,PG-13,83892374.0,66000000.0,7.0,85720,1,3.0
1158,There's Something About Mary,1998,USA,107,English,R,176483808.0,23000000.0,7.0999999,247289,1,3.0
1159,Urban Legend,1998,USA,99,English,R,38048637.0,14000000.0,5.5,47814,0,3.0
1160,Vampires,1998,USA,104,English,R,20241395.0,20000000.0,6.0999999,42664,0,3.0
1161,Velvet Goldmine,1998,UK,124,English,R,1043487.0,0.0,7.0,27766,1,3.0
1162,Very Bad Things,1998,USA,100,English,R,9801782.0,10000000.0,6.30000019,39331,0,3.0
1163,Waking Ned Devine,1998,UK,91,English,PG,24788807.0,3000000.0,7.4000001,21245,1,3.0
1164,What Dreams May Come,1998,USA,113,English,PG-13,55350897.0,85000000.0,7.0,83560,1,3.0
1165,Wild Things,1998,USA,115,English,R,29753944.0,20000000.0,6.5,90677,0,3.0
1166,Without Limits,1998,USA,117,English,PG-13,777423.0,25000000.0,7.19999981,5841,1,3.0
1167,Woo,1998,USA,84,English,R,8026971.0,13000000.0,3.79999995,1520,0,3.0
1168,You've Got Mail,1998,USA,119,English,PG,115731542.0,65000000.0,6.5,151812,0,3.0
1169,Zero Effect,1998,USA,116,English,R,1980338.0,5000000.0,7.0,12366,1,3.0
1170,10 Things I Hate About You,1999,USA,97,English,PG-13,38176108.0,16000000.0,7.19999981,222099,1,3.0
1171,200 Cigarettes,1999,USA,101,English,R,6851636.0,6000000.0,5.9000001,13010,0,3.0
1172,8MM,1999,Germany,123,English,R,36283504.0,40000000.0,6.5,104564,0,3.0
1173,A Dog of Flanders,1999,USA,100,English,PG,2148212.0,7000000.0,6.30000019,781,0,3.0
1174,A Room for Romeo Brass,1999,UK,90,English,R,18434.0,0.0,7.69999981,4471,1,3.0
1175,A Walk on the Moon,1999,USA,107,English,R,4741987.0,14000000.0,6.5999999,6782,0,3.0
1176,Aimee & Jaguar,1999,Germany,125,German,,927107.0,15000000.0,7.30000019,5153,1,3.0
1177,American Beauty,1999,USA,122,English,R,130058047.0,15000000.0,8.39999962,822500,1,3.0
1178,American Pie,1999,USA,95,English,R,101736215.0,11000000.0,7.0,315549,1,3.0
1179,An Ideal Husband,1999,UK,97,English,PG-13,18535191.0,14000000.0,6.9000001,12980,0,3.0
1180,Analyze This,1999,USA,103,English,R,106694016.0,30000000.0,6.69999981,123940,0,3.0
1181,Angela's Ashes,1999,USA,145,English,R,13038660.0,25000000.0,7.30000019,16995,1,3.0
1182,Anna and the King,1999,USA,148,English,PG-13,39251128.0,75000000.0,6.69999981,31080,0,3.0
1183,Any Given Sunday,1999,USA,156,English,R,75530832.0,55000000.0,6.80000019,97047,0,3.0
1184,Anywhere But Here,1999,USA,114,English,PG-13,18653615.0,23000000.0,6.0999999,14786,0,3.0
1185,Arlington Road,1999,USA,117,English,R,24362501.0,21500000.0,7.19999981,69980,1,3.0
1186,At First Sight,1999,USA,128,English,PG-13,22326247.0,60000000.0,5.9000001,11232,0,3.0
1187,Austin Powers: The Spy Who Shagged Me,1999,USA,95,English,PG-13,205399422.0,33000000.0,6.5999999,181225,0,3.0
1188,Baby Geniuses,1999,USA,97,English,PG,27141959.0,18000000.0,2.5,19547,0,3.0
1189,Bats,1999,USA,91,English,PG-13,10149779.0,6500000.0,3.5999999,8294,0,3.0
1190,Being John Malkovich,1999,USA,112,English,R,22858926.0,13000000.0,7.80000019,254404,1,3.0
1191,Beyond the Mat,1999,USA,108,English,R,2047570.0,500000.0,7.5999999,6790,1,3.0
1192,Bicentennial Man,1999,USA,132,English,PG,58220776.0,100000000.0,6.80000019,87785,0,3.0
1193,Big Daddy,1999,USA,93,English,PG-13,163479795.0,34200000.0,6.4000001,161858,0,3.0
1194,Blast from the Past,1999,USA,112,English,PG-13,26494611.0,35000000.0,6.5999999,48621,0,3.0
1195,Blue Streak,1999,USA,93,English,PG-13,68208190.0,65000000.0,6.30000019,60572,0,3.0
1196,Bowfinger,1999,USA,85,English,PG-13,66365290.0,55000000.0,6.4000001,56874,0,3.0
1197,Boys Don't Cry,1999,USA,118,English,R,11533945.0,2000000.0,7.5999999,77551,1,3.0
1198,Breakfast of Champions,1999,USA,110,English,R,175370.0,12000000.0,4.5999999,6884,0,3.0
1199,Bringing Out the Dead,1999,USA,121,English,R,16640210.0,55000000.0,6.80000019,53028,0,3.0
1200,Brokedown Palace,1999,USA,100,English,PG-13,10114315.0,25000000.0,6.4000001,18693,0,3.0
1201,But I'm a Cheerleader,1999,USA,85,English,R,2199853.0,1200000.0,6.5999999,19986,0,3.0
1202,Chill Factor,1999,USA,102,English,R,11227940.0,34000000.0,5.19999981,8367,0,3.0
1203,Cradle Will Rock,1999,USA,132,English,R,2899970.0,32000000.0,6.9000001,8039,0,3.0
1204,Crazy in Alabama,1999,USA,111,English,PG-13,1954202.0,15000000.0,6.30000019,5917,0,3.0
1205,Cruel Intentions,1999,USA,97,English,R,38201895.0,10500000.0,6.9000001,149222,0,3.0
1206,Deep Blue Sea,1999,USA,105,English,R,73648142.0,60000000.0,5.80000019,99043,0,3.0
1207,Deterrence,1999,France,104,English,R,144583.0,800000.0,6.5,2256,0,3.0
1208,Detroit Rock City,1999,USA,95,English,R,4193025.0,15000000.0,6.80000019,30682,0,3.0
1209,Deuce Bigalow: Male Gigolo,1999,USA,88,English,R,65535067.0,17000000.0,5.69999981,59380,0,3.0
1210,Dick,1999,France,94,English,PG-13,6241697.0,13000000.0,6.0999999,16059,0,3.0
1211,Dogma,1999,USA,130,English,R,30651422.0,10000000.0,7.4000001,181737,1,3.0
